ভ্ৰ	1881	3
ট্যা	1875	4
র্ষে	1862	4
ন্যে	1847	4
ষু	1823	2
ন্দ্ৰী	1816	6
স্কি	1815	4
ব্লি	1808	4
স্টো	1805	4
ত্তে	1804	4
জ্ব	1795	3
ম্ৰা	1787	4
র্ষি	1775	4
ম্মু	1771	4
ৱৈ	1771	2
ঙ্গু	1733	4
ৰ্জা	1706	4
গ্নি	1683	4
র্যে	1679	4
র্নে	1674	4
ড্রা	1668	4
ম্বে	1642	4
ঠো	1633	2
দ্দী	1630	4
র্ঘ্য	1629	5
স্পি	1616	4
ড়ু	1612	3
নিং	1605	3
ঢ়ো	1601	3
ব্ব	1598	3
কোঁ	1596	3
আং	1585	2
ম্	1564	2
হ্রা	1558	4
হ্বা	1553	4
ৰ্কে	1550	4
ন্ত্ৰি	1540	6
ন্মে	1526	4
ডী	1524	2
ক্	1519	2
ম্মে	1517	4
চিং	1505	3
র্থি	1499	4
ত্ত্বা	1477	6
হ্মা	1475	4
দ্ভ	1474	3
ৰ্ণা	1468	4
ন্সা	1466	4
ণ্ডী	1458	4
র্প	1453	3
ব্ধ	1449	3
ৰ্কী	1449	4
ৰ্বি	1447	4
র্ধে	1436	4
র্শি	1432	4
ট্টো	1431	4
ৰ্ধ	1429	3
ব্যু	1427	4
ম্বো	1426	4
হ্র	1426	3
ষ্ক	1425	3
স্ত্ৰী	1411	6
স্	1408	2
ফাঁ	1394	3
ৰ্ঘ	1383	3
শৃ	1380	2
স্পা	1375	4
ন্ডো	1364	4
ম্পে	1360	4
শ্ন	1357	3
মৈ	1355	2
সঁ	1353	2
ল্ডে	1351	4
ৰ্প	1349	3
ত্মি	1347	4
র্ডা	1346	4
ৰ্টি	1344	4
র্চা	1343	4
ঠী	1341	2
ষ্প	1338	3
ত্রু	1334	4
র্লি	1330	4
ৰ্দি	1326	4
ৰ্তা	1325	4
ন্থী	1324	4
চৈ	1323	2
ফ্ৰি	1322	4
ৰ্বে	1312	4
ৰ্ছ	1310	3
ল্টি	1309	4
লৌ	1306	2
ৰ্বো	1300	4
খাঁ	1296	3
গ্লো	1291	4
স্মা	1287	4
য্যে	1285	4
ৰ্দে	1282	4
জ্জ্ব	1277	5
ফ্লা	1276	4
র্পো	1274	4
ণ্ডু	1272	4
ফ্ৰা	1270	4
ড্রো	1264	4
ৰ্গা	1257	4
শ্রু	1255	4
স্ক্রি	1254	6
স্যু	1250	4
ণো	1249	2
শ্চ	1242	3
ল্টা	1232	4
ক্রু	1231	4
দ্বো	1225	4
ৰ্থী	1223	4
চ্যু	1218	4
ধ্রু	1211	4
ন্বি	1211	4
জং	1207	2
ঙ্কি	1203	4
ল্যে	1195	4
ট্ৰি	1195	4
ক্ষ্ম	1193	5
যুঁ	1192	3
পুঁ	1191	3
ট্ৰে	1189	4
ব্ল্যা	1187	6
শ্চা	1182	4
ন্দ্রি	1182	6
ৰ্কি	1180	4
দ্বৈ	1177	4
ব্যে	1176	4
শ্মী	1174	4
ঙ্খ	1173	3
নিঃ	1169	3
ঞা	1169	2
ষো	1165	2
ফী	1165	2
শ্মি	1161	4
ৰ্ষি	1155	4
গ্ধ	1152	3
মিঃ	1151	3
র্টা	1145	4
স্মি	1141	4
র্দা	1136	4
ন্নী	1134	4
ব্বা	1129	4
হং	1127	2
ন্দ্যো	1124	6
ম্বু	1121	4
বেঁ	1120	3
ৰোঁ	1116	3
ভং	1109	2
ক্ৰে	1109	4
স্তো	1104	4
ম্বী	1102	4
ব্লা	1096	4
ষ্কৃ	1092	4
র্ল্ড	1091	5
শিং	1087	3
দ্	1076	2
ক্তৃ	1073	4
ঝু	1072	2
ফ্র	1067	3
ঙু	1065	2
হ্	1062	2
র্শ্ব	1060	5
ক্লো	1060	4
ট্ৰ	1060	3
স্ফো	1059	4
শৃং	1057	3
দ্ৰো	1057	4
ৰ্ঘ্য	1045	5
র্ভি	1043	4
ৰ্চা	1039	4
কুঁ	1037	3
উঁ	1036	2
ছী	1036	2
[	1035	1
ড্যা	1028	4
চ্য	1018	3
ক্ষ্যে	1017	6
দুঃ	1007	3
ষ্ট্রী	1006	6
ক্ল	1004	3
ন্তো	1004	4
ক্তে	1000	4
ধো	1000	2
গ্নে	997	4
স্লা	991	4
দ্রে	989	4
ভ্রা	983	4
ট্ৰা	983	4
স্ট্রা	975	6
স্টু	974	4
সোঁ	973	3
স্ত্রে	972	6
রাং	971	3
ৰ্ণি	971	4
এ্	970	2
—	969	1
গ্র্যা	964	6
দ্মা	963	4
ৰাং	963	3
ঙ্কে	961	4
ৰ্হি	960	4
জ্জ	959	3
স্তে	959	4
জ্বা	955	4
র্শে	949	4
র্ণে	948	4
ক্টে	937	4
ল্পি	933	4
র্কা	933	4
স্বে	933	4
ৰ্ধা	932	4
জিং	930	3
স্ট্রো	929	6
ঢে	927	2
র্ডি	924	4
ট্	923	2
॰	921	1
কেঁ	912	3
প্ল্যা	909	6
ফ্লে	909	4
থী	904	2
ফ্লো	900	4
ৰ্ল	900	3
ন্টু	899	4
চ্	898	2
শ্লি	894	4
প্লি	894	4
ন্দ্বী	891	6
ব্লু	891	4
ট্র্যা	891	6
মং	888	2
ৰ্জী	888	4
ষ্ঠে	886	4
দ্দ	885	3
ফাং	885	3
র্দ	884	3
ব্ৰে	877	4
1	875	1
ত্বা	871	4
পিং	870	3
ন্ন্যা	868	6
ষ্ট্ৰে	863	6
শ্লো	858	4
ন্মি	857	4
ক্লে	849	4
প্পা	843	4
র্চে	842	4
স্যে	842	4
ন্ধ্যা	841	6
ব্রো	838	4
ড্রি	838	4
হ্ৰা	838	4
স্প্যা	833	6
ভ্ৰা	831	4
শ্ৰু	821	4
ফ্ৰে	821	4
ৰ্ভা	810	4
ত্তো	805	4
ম্মি	801	4
ত্মী	801	4
জ্জি	799	4
ডিং	796	3
কিঃ	795	3
স্লো	791	4
ঢো	790	2
ঝুঁ	784	3
ভঁ	783	2
র্দু	781	4
ষ্টু	781	4
ণ্টে	774	4
ঘাঁ	773	3
ষ্ণা	770	4
ভৈ	767	2
ড্রে	765	4
ৰৈ	762	2
চাং	761	3
প্তে	759	4
ত্র্য	755	5
ব্বি	754	4
ব্ধি	752	4
গ্লা	751	4
ন্থি	751	4
থ্যা	746	4
ঙী	743	2
ধ্ৰু	740	4
স্পো	736	4
ব্র্যা	725	6
ঙ্কু	719	4
খ্রী	718	4
0	716	1
স্র	711	3
প্য	710	3
দ্বে	710	4
র্ভে	706	4
ণ্ডো	704	4
স্নে	703	4
স্রা	702	4
গং	702	2
শ্ম	701	3
ণ্যে	694	4
ফ্ট	693	3
র্ভূ	688	4
