character	level	sequence
㙳	bag	 心 戊
㙴	bag	  言 𠂊
㙵	bag	  十 
㙶	bag	⺌  冖 
㙷	bag	②   灬
㙸	bag	  人 
㙹	bag	  十 罒 𠂊
㙺	bag	 八 匚  目
㙻	bag	   广 甲
㙼	bag_ops	 田 田 田 ⿰ 
㙽	bag	  白 白
㙾	bag	③ 㐅   子 彐
㙿	bag	③    十 木
㚀	bag	 ㇀  乚 十 豆
㚁	bag	      
㚂	bag	 井 冖   𧘇
㚃	bag	㐅  冖 凵 十
㚄	bag	 田 疋
㚅	bag	 
㚆	bag	 夂 日
㚇	bag	㐅 八 凵 
㚈	bag	 𠂊
㚉	bag	 丿  𠄎
㚊	bag	  人  𠃋
㚋	bag	⺆   
㚌	ordered	𠂊  
㚍	bag	   
㚎	bag	 凵
㚏	bag	 
㚐	bag_ops	 人 
㚑	bag	 
㚒	bag	 入 
㚓	bag_ops	 木 
㚔	bag	 人 干
㚕	bag	 人 弓
㚖	bag	 白
㚗	bag	 
㚘	bag	 
㚙	bag	 
㚚	bag	 
㚛	bag	 
㚜	bag	 人 
㚝	bag	  十
㚞	bag	 
㚟	bag	 比 𠂊
㚠	bag	  灬
㚡	bag	   
㚢	bag	亻 
㚣	bag_ops	女 女 ⿱
㚤	bag	 女
㚥	bag	于 女
㚦	bag	 
㚧	bag	女 
㚨	bag	 女
㚩	bag	 
㚪	bag_ops	 女 
㚫	bag	及 女
㚬	bag	 勹 女
㚭	bag	 
㚮	bag	 女
㚯	bag	 女
㚰	bag	③  女
㚱	bag	丘 女
㚲	bag	⺊ 
㚳	bag_ops	丿   ⿰ ⿻
㚴	bag	女 
㚵	bag	 夂 女
㚶	bag	㠯 
㚷	bag	人 女 小
㚸	bag	 女 𠃌
㚹	bag	卩 女 𠂎
㚺	bag	 子 𠄎
㚻	bag_ops	女 田 ⿱
㚼	bag_ops	女 田 ⿰
㚽	bag	 女 工
㚾	bag	 
㚿	bag	勹 女 巳
㛀	bag	女 彐 𠂊
㛁	bag	丷 女 干
㛂	bag	女 巴 𠂆
㛃	bag	  𠃌
㛄	bag	 女 𧘇
㛅	bag	女 耳
㛆	bag	 木 𠄎
㛇	bag	 女 广
㛈	bag	 女 耂
㛉	bag_ops	 ⿰ 
㛊	bag	几 
㛋	bag	 女 小
㛌	bag	厶 女 牛
㛍	bag	  
㛎	bag	 
㛏	bag	 女
㛐	bag	 
㛑	bag	⺊ 丶  𠂊
㛒	bag	女 豆
㛓	bag	㐅 女 
㛔	bag	 女
㛕	bag	 
㛖	bag	 女
㛗	bag	 
㛘	bag	 女 子
㛙	bag	 
㛚	bag	 女 龴
㛛	bag	女 身
㛜	bag	 
㛝	bag	八 女 
㛞	bag	  女
㛟	bag	 女 𠂊
㛠	bag	女 
㛡	bag_ops	  
㛢	bag	  𠄎
㛣	bag	 
㛤	bag	 冂 冂 女
㛥	bag	 
㛦	bag_ops	 
㛧	bag	  山
㛨	bag	 乚 女
㛩	bag	 女 月
㛪	bag	 
㛫	bag	 
㛬	bag	  女
㛭	bag	 
㛮	bag	 又 
㛯	bag	⑤  𠂊 𠃌
㛰	bag	 民
㛱	bag	 女 田 𠄌
㛲	bag	女 頁
㛳	bag_ops	 女 巾  
㛴	bag	㐅 丿 囗 女 
㛵	bag	丿 冉 女 𭕄
㛶	bag	 女 山 𠂇
㛷	bag	 女 尢 木
㛸	bag	十 女 豆
㛹	bag	 
㛺	bag	 女 
㛻	bag	  女
㛼	bag	 女 臼
㛽	bag	 米
㛾	ordered	女 戊 
㛿	bag	 女 川 巾
㜀	bag	女 
㜁	bag	 
㜂	bag	 女 寸
㜃	bag	亻 女 言
㜄	bag	丿 几 女 虫
㜅	bag	 女 田
㜆	bag	女 米 辶
㜇	full	⿰ 女    心
㜈	bag	  夂 女 龴 𠃌
㜉	bag	 巴 
㜊	bag	 女 尸 𠄌
㜋	bag	 女 皿
㜌	bag	   𠘧
㜍	bag	  
㜎	bag	②  女 𭕄
㜏	bag	八  目
㜐	bag	女 山 豆
㜑	bag	 女 
㜒	bag	 女 臼
㜓	bag	  女
㜔	bag	  女
㜕	bag	女 車 辶
㜖	bag	 日 曲
㜗	bag	人 厶 厶 厶 女 彡
㜘	bag	 ㇀ 且 乚 女
㜙	bag	 女 广 比 
㜚	bag	  白
㜛	bag	女 欠 車
㜜	bag_ops	丿  龶  ⿰ 
㜝	bag	 女 酉
㜞	bag	 女 車 𠂆
㜟	bag	乛  耳
㜠	bag	女 山 隹
㜡	bag	 女 彳 龰
㜢	bag	⑧ 女 女
㜣	bag	冫 女 
㜤	bag	  
㜥	bag	八 女 目 罒
㜦	bag	 寸 工 彐
㜧	bag	 厂 女 欠
㜨	bag	 八 女 尸 牛
㜩	bag	 丿  女 米
㜪	bag	 女 
㜫	bag	一 几 女 山 彳 攵
㜬	bag	 厂 女 言 𠂊
㜭	bag	⺌ 冖  田
㜮	bag	 皿 臣 𠂉
㜯	bag	女 巳 灬 𦣞
㜰	bag	②  丶  白
㜱	bag	 丨 八 女  𠂆
㜲	bag	 几  女 
㜳	bag	⑤  女 罒 𧘇
㜴	bag	 女 目 罒
㜵	bag	⑥  女 灬 𧘇
㜶	bag	  比 
㜷	bag	   乀 八 女 巾 弓
㜸	bag	㠯   十 
㜹	bag	女 目 目 隹
㜺	bag	 八 女 目 
㜻	bag	②   小 小 心 言
㜼	bag	且 冖 女 田 田 田
㜽	bag	子 
㜾	bag	 子
㜿	bag	 子 龴
㝀	bag	子 母
㝁	bag	勹 子 日
㝂	bag	 子 
㝃	bag	⑤ 子 𠂊
㝄	bag	 凵 
㝅	bag	  又 子 𠘧
㝆	bag	 子 豆
㝇	bag	  子 子
㝈	bag	②  丶 子 子 小 小 言
㝉	bag	一 
㝊	bag	又 
㝋	bag	 宀
㝌	bag	久 宀
㝍	bag	 
㝎	bag	 宀
㝏	bag	 宀
㝐	bag	 
㝑	bag	 宀 𠃌
㝒	bag	 宀
㝓	bag	 宀
㝔	bag	 
㝕	bag	又 宀 心
㝖	bag	 宀 
㝗	bag	丶 宀 艮
㝘	bag	宀 言
㝙	bag	 一 
㝚	bag	 宀 廴
㝛	bag	㐁 亻 宀
㝜	bag	 宀 日
㝝	bag	宀 
㝞	bag	⑥ 
㝟	bag	 宀 目
㝠	bag	  日
㝡	bag	又 宀 耳
㝢	bag	宀 禹
㝣	bag	  人 宀 𠃌
㝤	bag	 冉 宀
㝥	bag	宀 爿 米
㝦	bag	 隹 𠄎
㝧	bag	 
㝨	bag	 宀 𧘇
㝩	bag	宀 
㝪	bag	 九 十 宀 干
㝫	bag	 宀 
㝬	bag	  宀
㝭	bag	宀 忄 
㝮	bag	 又 
㝯	bag	 
㝰	bag	  宀 自 𠃌
㝱	bag	  宀 爿 罒 𠂊
㝲	bag	冖 冖 宀 巾 彐 爿 罒 艹
㝳	bag	 
㝴	bag	 
㝵	bag	一 寸 
㝶	bag	 寸 罒
㝷	bag	 寸 工 彐
㝸	bag	 小 白
㝹	bag	⑤  
㝺	bag	  
㝻	bag	丿  廿 龶
㝼	bag	于 尢
㝽	bag	 尢
㝾	bag	尢 
㝿	bag	尢 皮
㞀	bag	 尢 𠂇
㞁	bag	 尢 日
㞂	bag	 尢 𭕄
㞃	bag	 谷
㞄	bag	 尢 日
㞅	bag	尢 
㞆	bag	 尢
㞇	bag	 尢 田 𠄌
㞈	bag	  尢 尸
㞉	bag	 尢 工
㞊	bag	 尢 示
㞋	bag	又 
㞌	bag	子 尸
㞍	bag	 尸
㞎	bag	尸 巴
㞏	bag	 尸
㞐	bag	 尸
㞑	bag	丷 乚 八 尸
㞒	bag	尸 自
㞓	bag_ops	 尸 日 
㞔	bag	 尸 
㞕	bag	八 尸 月
㞖	bag	尸 朿
㞗	bag	 尸
㞘	bag	 尸 𧰨
㞙	bag	㇇  乚 亅 尸
㞚	bag	 尸 臼
㞛	bag	 尸 彳 日
㞜	bag	 尸 彳 木
㞝	bag	 小 尸 戊
㞞	bag	 尸 彳 龰
㞟	bag	 人 尸 酉
㞠	bag	 人 小 尸 日
㞡	bag	尸 工 工 工 工 𧘇
㞢	bag	 
㞣	bag	 八 凵 𠃌
㞤	ordered	山 
㞥	ordered	山 入
㞦	bag	几 
㞧	bag_ops	丿 山 𠄎 
㞨	bag	子 山
㞩	bag	丶 
㞪	bag	山 彐
㞫	bag	 山
㞬	bag_ops	山 工 ⿱
㞭	bag	 
㞮	bag_ops	 
㞯	ordered	己 山
㞰	bag	十 山 𠂉
㞱	ordered	山 
㞲	bag	 山
㞳	bag	山 斗
㞴	bag	山 氏
㞵	bag_ops	 山 
㞶	bag_ops	 山 
㞷	bag	 
㞸	bag	 山
㞹	bag_ops	 山 ⿰ 
㞺	bag	 山 𠂉
㞻	bag	㇉  山
㞼	bag	㇇   山
㞽	bag	山 戉
㞾	bag	 尸 山
㞿	bag	 十 山
㟀	bag_ops	丿 山 
㟁	bag_ops	 ⿰ ⿸
㟂	bag	山 母
㟃	bag	 山 𠃌
㟄	bag	 
㟅	bag	㐅  山
㟆	bag	  山
㟇	bag	 山
㟈	bag	 山
㟉	bag	宀 山 牛
㟊	bag	 山 𭕄
㟋	bag	 山
㟌	bag	 山 彡
㟍	bag_ops	 艮 
㟎	bag	 山 𭕄
㟏	ordered	山 人 丶 ㇇ 口
㟐	bag	 十 山 𠃊
㟑	bag	 子 山
㟒	bag_ops	 山   ⿻
㟓	bag	㐅 山 
㟔	bag_ops	 山 
㟕	bag	口 山 斗
㟖	bag	  山
㟗	bag	丿  八 山 
㟘	bag	 山
㟙	bag	 山 日
㟚	bag	 山 木
㟛	bag	山 扌 甘
㟜	bag	小 山 弓 𠂊
㟝	bag	 山
㟞	bag	  
㟟	bag	 山 巳
㟠	bag_ops	 冂 山 山  ⿵
㟡	bag	 山
㟢	bag_ops	 山  
㟣	bag_ops	 山  
㟤	bag	 山 彐
㟥	bag	 山 彡
㟦	bag	冖 山 車
㟧	bag_ops	  山 
㟨	bag	 山 山
㟩	bag	山 攵 民
㟪	bag_ops	 山 田 𠄌  ⿳ ⿺
㟫	bag	 山 白
㟬	bag	 山 臼
㟭	bag	山 日 民
㟮	bag	 山 犬
㟯	bag	 山
㟰	bag	 八 冖 山 日
㟱	bag	 山 灬
㟲	bag_ops	 山 白 ⿰ 
㟳	bag	 山 木
㟴	bag_ops	 山 田 ⿰  ⿺
㟵	bag	一 山 止 罒
㟶	bag_ops	 山 白  ⿸
㟷	bag	  山
㟸	bag	 山 白
㟹	bag	卩 山 耳 𠂎
㟺	bag_ops	⑧ 女 山 
