character	level	sequence
潋	bag	 攵 氵 𭕄
潌	bag	  厶 宀 氵
潍	bag	氵 
潎	bag	丷 八 巾 攵 氵
潏	bag	   龴
潐	bag	氵 灬 隹
潑	bag	 又  𠘧
潒	bag	丨 囗 氵 
潓	bag	⑧ 心 氵
潔	bag	②   小 
潕	bag	一 卌 氵 灬 𠂉
潖	bag	 十 巴 氵
潗	bag	 隹
潘	bag	丿 氵 
潙	bag	氵 爲
潚	bag	氵 肅
潛	bag	旡 旡 
潜	bag	
潝	bag	   
潞	bag	 氵
潟	bag	勹 氵 灬 臼
潠	bag	 巳 氵
潡	bag	  氵
潢	bag	 
潣	bag	 氵 𠁣 𠃛
潤	ordered	氵 𠁣 𠃛  一
潥	bag	  米
潦	bag	 人 小 
潧	bag	  氵
潨	bag	丿 乑 氵 皿
潩	bag	 氵 
潪	bag	 日 
潫	bag	②  人 小 氵
潬	bag	  
潭	bag	  
潮	bag	
潯	bag	口 寸 工 彐 氵
潰	bag	  
潱	bag	 氵 豆
潲	bag	 
潳	bag	尸  耂
潴	bag	 犭 耂
潵	bag	 攵 氵
潶	bag	⑧ 氵 灬
潷	bag	   
潸	bag	月  氵
潹	bag	 
潺	bag	子 子 子 
潻	bag	  
潼	bag	 氵 甲
潽	bag	 
潾	bag	㐄  米 𠂊
潿	bag	㐄  氵 𫝀
澀	bag	  止  
澁	bag	止 止 
澂	bag	 十 山 攵 氵
澃	bag	 彡 頁
澄	bag	 氵 豆
澅	bag	 氵 田 
澆	bag	   十 氵
澇	bag	丿  冖 
澈	bag	 攵 
澉	bag	 氵 耳
澊	bag	 
澋	bag	 
澌	bag	 
澍	bag	 氵 豆
澎	bag	 氵 豆
澏	bag	 口 山 氵
澐	bag	  厶 氵
澑	bag	丣 氵 田
澒	bag	工 氵 頁
澓	bag	夂 彳 日 
澔	bag	 白 𠂒
澕	bag	⑦ 
澖	bag	 𠁣 𠃛
澗	bag	 𠁣 𠃛
澘	bag	 
澙	bag	② 氵 灬 臼
澚	bag	㇉  冂 
澛	bag	 氵 
澜	bag	柬 
澝	bag	 宀 心 氵
澞	bag	 ㇀  乚 人 
澟	bag	  
澠	bag	氵 黽
澡	bag	  氵
澢	bag	 氵 田
澣	bag	 十 干 
澤	bag	 氵 罒
澥	bag	丿 氵 
澦	bag	 氵 頁 龴
澧	bag	曲 氵 豆
澨	bag	  工 氵 
澩	bag	③ ㇇ 㐅 丿  乀 亅 冖 彐
澪	ordered	氵    丶 龴
澫	ordered	氵 十 丨 禺
澬	bag	八  氵 目
澭	bag	 乡 氵 隹
澮	bag	⺌   氵
澯	bag	⺊ 丶  米 𠂊
澰	bag	   氵
澱	bag	 又  𠘧
澲	bag	 未 氵
澳	bag	 
澴	bag	 氵 罒 𧘇
澵	bag	 朩 
澶	bag	 口  
澷	bag	  罒 𠃌
澸	bag	 戊 氵
澹	bag	 厂 氵 言 𠂊
澺	bag	 
澻	bag	 氵 
澼	bag	 氵
澽	bag	  氵 𧰨
澾	bag	 十 氵 辶
澿	bag	 氵 示
激	bag	
濁	bag	勹 氵 罒 虫
濂	bag	 广 
濃	bag	 曲 氵 𠄌
濄	bag	冂 冂  辶 𠃍
濅	bag	冖 又 宀 巾 彐 氵
濆	bag	  氵 目
濇	bag	 人  氵
濈	bag	  氵 耳
濉	bag	氵 目 隹
濊	bag	一 戊 
濋	bag	 氵 疋
濌	bag	 日 重
濍	bag	  十 心 氵
濎	bag	⑧ 氵 目
濏	bag	   心 氵
濐	bag	日  耂
濑	bag	束 氵 
濒	bag	 页 𣥂
濓	bag	④  厂 
濔	bag	   乀 八 巾 氵
濕	bag	②  丶  
濖	bag	 罒 耂
濗	bag	 
濘	bag	 宀 心 氵 皿
濙	bag	  八 八 冖 氵
濚	bag	 冖 
濛	bag	 氵 𧰨
濜	bag	 氵 灬 皿 
濝	bag	② ⑤  八 小 氵
濞	bag	 氵 田 自
濟	bag	③   
濠	bag	  氵 𧰨
濡	bag	 冂 冂 氵
濢	bag	  氵 
濣	bag	 十 斗 
濤	bag	 乛  寸 工 氵
濥	bag	   𠂊
濦	bag	  氵 𭕄
濧	bag	  氵
濨	bag	 心 氵
濩	bag	  隹
濪	bag	巴  𠂊
濫	bag	 皿 臣 𠂉
濬	bag	⺊   氵 目
濭	bag	  厶 氵 皿
濮	bag	  亻 氵
濯	bag	 氵 隹 
濰	bag	  隹
濱	bag	 氵 目 𣥂
濲	atomic_override	濲
濳	bag	  
濴	bag	  冖 氵
濵	bag	 氵 
濶	ordered	氵 𠁣 𠃛 
濷	bag	 入 入 巾 廿 氵
濸	bag	   氵
濹	bag	⑧  氵 灬
濺	bag	  八 氵 目
濻	bag	  氵 目 阝
濼	bag	②  丶  白
濽	bag	  氵 目
濾	bag	 心 氵 田
濿	bag	 厂 氵 禺
瀀	bag	⑧ 夂 心 氵
瀁	bag	  氵 艮
瀂	bag	 灬 
瀃	bag	丿  勹  目
瀄	bag	⑤  卩 氵 
瀅	bag	   氵
瀆	bag	一  氵 目 罒
瀇	bag	 广 
瀈	bag	冖  氵 車 
瀉	bag	勹 宀 氵 灬 臼
瀊	bag	 皿 
瀋	bag	 氵 
瀌	bag	 广 比 氵 灬 
瀍	bag	  十 广 氵 甲
瀎	bag	 戊 氵 罒
瀏	bag	③    
瀐	bag	 十 氵 非
瀑	bag	 
瀒	bag	  囗 
瀓	bag	 十 山 彳 攵 氵
瀔	full	⿰ 氵  ⿳  冖 一 ⿱  ⿱ 𠘧 又
瀕	bag	 頁 𣥂
瀖	bag	 氵 隹
瀗	bag	 宀 心 氵 罒
瀘	bag	 氵 田 皿
瀙	bag	 朩 氵 目
瀚	bag	  氵 
瀛	bag	 几   𠃊
瀜	bag	  冂  虫
瀝	bag	 厂  
瀞	bag	  
瀟	bag	 肅
瀠	bag	  冖 小 氵
瀡	bag	工  辶 
瀢	bag	  氵 目 辶
瀣	bag	  非 𠂊
瀤	bag	⑤  氵 罒 𧘇
瀥	bag	   氵 
瀦	bag	 氵 耂 𧰨
瀧	bag	⑦  
瀨	bag	八 束 氵 目 𠂊
瀩	bag	丿 几  頁
瀪	bag	 攵 母 白 𠂉
瀫	bag	②    氵 𠘧
瀬	bag	束 氵 頁
瀭	bag	  車
瀮	ordered	氵   八 
瀯	bag	丿  冖  氵
瀰	bag	   乀 八 巾 
瀱	bag	 刂 厂 氵 罒
瀲	bag	   攵 氵
瀳	bag	②   广 氵 灬 
瀴	bag	八 八 女 氵 目 目
瀵	bag	 氵 
瀶	bag	  臣 𠂉
瀷	bag	 氵 
瀸	bag	  氵 非
瀹	bag	   氵
瀺	bag	 口 比 氵 
瀻	bag	 氵 田
瀼	bag	 井  
瀽	bag	  宀 氵 龰
瀾	bag	柬 氵 𠁣 𠃛
瀿	bag	 攵 
灀	bag	  目
灁	bag	  𠁣 𠃛
灂	bag	⑤ 丿 寸 氵 罒 𭕄
灃	bag	  丨 山 氵 豆
灄	bag	氵 耳 耳 耳
灅	bag	 氵 田 田 田
灆	ordered	氵 十 丨 臣 𠂉 丶 皿
灇	bag	④  又  耳
灈	bag	氵 目 目 隹
灉	bag	 氵 隹 
灊	bag	   旡 旡 氵
灋	bag	②  十 厶 广 氵 灬 
灌	bag	  隹
灍	bag	 欠 氵 𠁣 𠃛
灎	bag	 曲 氵 皿 豆
灏	bag	  页
灐	bag	   八  氵
灑	bag	 丨 冂 冂 广 比 
灒	bag	 八 氵 目 
灓	bag	 ㇇   小 小 言
灔	bag	巴 曲 氵 豆 𠂊
灕	bag	 厶 氵 隹
灖	bag	 氵 非
灗	bag	 口  氵 虫
灘	bag	 廿 氵 隹
灙	bag	⑧  氵 灬
灚	bag	③ 㐅 丿  乚 冖 彐 氵 目
灛	bag	  甲 𠁣 𠃛
灜	bag	 八   目 𠃊
灝	bag	  頁
灞	bag	  革
灟	bag	 八 勹  罒 虫
灠	bag	 氵 目 罒 臣 𠂉
灡	bag	 柬 氵 𠁣 𠃛
灢	bag	 井 冖   𧘇
灣	bag	②  丶 小 小  言
灤	bag	②  丶 小 小  言
灥	bag	㇇ ㇇ ㇇   乀 乀  亅 白 白 白
灦	bag	②  丶  灬 頁
灧	bag	  丨 山 巴 氵 豆 𠂊
灨	bag	  夂 工  目
灩	bag	   厶 山 氵 皿 豆
灪	bag	㐅    凵 彡  氵 缶
火	bag	
灬	bag	
灭	bag	
灮	bag	 
灯	bag	
灰	bag	
灱	bag	丿  𠃌
灲	bag	 刂
灳	bag	 勹 ⸻
灴	bag	 
灵	bag	
灶	bag_ops	  
灷	bag	 
灸	bag	久 
灹	bag	 
灺	bag	也 
灻	bag_ops	  
灼	bag	 八 勹
災	bag	 
灾	bag	
灿	bag	 
炀	bag	 𠃓
炁	bag	旡 灬
炂	bag	 
炃	bag	丿  
炄	bag	丑 
炅	bag_ops	 日 
炆	bag	 
炇	bag	 攵
炈	bag	 
炉	bag	 八 
炊	bag	 欠
炋	bag_ops	③  八 
炌	bag	 
炍	bag	 
炎	bag_ops	
炏	bag_ops	 
炐	bag	 
炑	bag	 
炒	bag	丿  小
炓	bag	 斗
炔	bag	 𠃍
炕	bag	  几
炖	bag	  凵
炗	bag	 廿
炘	bag	  𠂆
炙	bag	  
炚	bag_ops	 日 
炛	bag	 亻 
炜	bag	 韦
炝	bag	㔾 
炞	bag	  卜
炟	bag	 八 
炠	bag	 甲
炡	bag	 八 止
炢	bag	 八 木
炣	bag	  口
炤	bag	丿  
炥	bag	  弓
炦	bag	 八 
炧	bag	也  𠂉
炨	bag	 
炩	bag	丶  龴
炪	bag	丨  凵 
炫	bag	 
炬	bag	 
炭	bag	 山 𠂇
炮	bag	
炯	bag	 
炰	bag	 
炱	bag_ops	  
炲	bag_ops	  
炳	bag_ops	 冂 
炴	bag	 央
炵	bag	  夂
炶	bag	⺊  口
炷	bag	 人 
炸	bag	
点	bag	
為	bag	為
炻	bag	  
炼	bag	 𫠣
炽	bag	 八 
炾	bag	  口
炿	bag	⺆  
烀	bag	乎 
烁	bag	乐 
烂	bag	 
烃	bag	 工 
烄	bag	  八
烅	bag	丿  皿
烆	bag	  彳
烇	bag	 人 
烈	bag	
烉	bag	  𠂊
烊	bag	 
烋	bag	亻 
烌	bag	 八 木
烍	bag	  𠂒
烎	bag	 
烏	atomic_override	烏
烐	bag	 舟
烑	bag	人 兆 八
烒	bag	  工
烓	bag	 
烔	bag	 八 
烕	bag	 八 
烖	bag	 人 
烗	bag	  𠃋
烘	bag_ops	    ⿻
烙	bag	 
烚	bag	 口
烛	bag	 
烜	bag	 八 日
烝	bag	㇇   灬
烞	bag	 卜 木
烟	bag	
烠	ordered	 𠂇 月
烡	bag_ops	    ⿻
烢	bag	 人 
烣	bag	 𠂇
烤	bag	㇉  八 耂
烥	bag	 臣
烦	bag	
烧	bag	
烨	bag	 亻 
烩	bag	  厶
烪	bag	  
烫	bag	 氵 𠃓
烬	bag	  尺
热	bag	
烮	bag	  
烯	bag	㐅  
烰	bag	丿  
烱	bag	  口
烲	bag	  
烳	bag	  月
烴	bag	 八 工 
烵	ordered	八   丶
烶	bag	  廴
烷	bag	 
烸	bag	 
烹	bag	  口 灬
烺	bag	 八 艮
烻	bag	  廴
烼	bag	 八 𧰨
烽	bag	  
烾	bag_ops	   
烿	bag	丹  彡
焀	bag	 谷
焁	bag	 口 欠
焂	bag	丨  八 攵
焃	bag	④  
焄	bag	 灬 
焅	bag	 
焆	bag	 口 月
焇	bag	⺌  月
焈	bag	 八 尸 巳
焉	bag	 止 
焊	bag	 干 日
焋	bag	  爿
焌	bag	 
焍	bag	  弓
焎	bag	 灬 𠂆
焏	bag	 又 口 灬
焐	bag	  𫝀
焑	bag	 囗 木
焒	bag	 
焓	bag	  
焔	bag	丨  日 𠂊
焕	bag	 冂 𠂊
焖	bag	 心 门
焗	bag	 
焘	bag	 灬
焙	bag	  口
焚	bag	 
焛	bag	 𠁣 𠃛
焜	bag	 
焝	bag	 日 氏
焞	bag	  口 
焟	bag	 
焠	bag	 人 
無	bag	一 卌 灬 𠂉
焢	bag	 
焣	bag	又 灬 耳
焤	bag	 八 寸 广
焥	bag	㔾   𠂊
焦	bag	灬 
焧	bag	  心
焨	bag	  月
焩	bag	 
焪	bag	  弓
焫	bag	丨  
焬	bag	  勹 日
焭	bag	 冖 
焮	bag	  
焯	bag	⺊ 人 
焰	bag	  ⸻
焱	full	    ⿱ 
焲	bag	  八 夂
焳	bag	 
焴	bag	  月
焵	bag	  冂 山
然	bag	
焷	bag	  白
焸	ordered	 
焹	bag	  冂 𠃊
焺	bag	 丿  日
焻	ordered	 
焼	bag	  人 
焽	bag	 
焾	bag	  心
焿	bag	 
煀	bag	丨   尸
煁	bag	⑤   匚
煂	bag	 革
煃	bag	 人 
煄	bag	 重
煅	bag	⑤  
煆	bag	⑤  
煇	bag	 冖 車
煈	bag	丿  几 虫
煉	bag	 柬 ⸻
煊	bag_ops	  日 
煋	bag	 
煌	bag	  白
煍	bag	丿  木
煎	bag	  灬
煏	bag	  田
煐	bag	丨 人  央
煑	bag	 
煒	bag	㐄  口 𫝀
煓	bag	  冂 山
煔	bag	⺊  
煕	full	 𦣞 巳 灬
煖	bag	  又 
煗	bag	   
煘	bag	  戊
煙	bag_ops	 丨    
煚	bag	 巨 日
煛	bag	 目 
煜	bag	  日
煝	bag	 
煞	bag	彐 攵 灬 𠂊
煟	bag	 
煠	bag	世  木
煡	bag	  
煢	bag	⺄  
煣	bag	  
煤	bag	 
煥	bag	  𠂊
煦	bag	勹  灬
照	bag	
煨	bag	  田 𠄌
煩	bag	 頁
煪	ordered	 丷 酉
煫	bag	  𧰨
煬	bag	 丿  勹 
煭	bag	 𠂊 
煮	bag	日 灬 耂
煯	bag	 比 白
煰	bag	 
煱	bag	 冂  𠃍
煲	bag	 八 
煳	bag	  月
煴	bag	 日 皿
煵	bag	丷   干
煶	bag	 八 日 龰
煷	bag	   口
煸	bag	丨  八 
煹	bag	  冉
煺	bag	 
煻	bag	  口 
煼	bag	   勹 勹
煽	bag	 八   𠃌
煾	bag	 囗 心
煿	bag	  寸 月
熀	bag	  日
熁	bag	 丿  月  𠃌
熂	bag	  米 𠂉
熃	bag	   夂 龴 𠃌
熄	bag	 心 自
熅	bag	 囗 皿
熆	bag	  厶 皿
熇	bag	  冂 
熈	bag	㇓ 巳 灬 臣
熉	bag	  目
熊	bag	 厶 
熋	bag	⺆   冫 厶
熌	bag	 𠁣 𠃛
熍	bag	丿  
熎	bag	丿  缶 𭕄
熏	bag	熏 ⸻
熐	bag	  八 冖 日
熑	bag	  
熒	bag	  八 八 冖 ⸻
熓	bag	⑥  灬
熔	bag	人  谷
熕	bag	 八 工 目
熖	bag	丿  臼 𭕄
熗	bag	  尸
熘	bag	  
熙	atomic_override	熙
熚	bag	⑨  八
熛	bag	  口 示
熜	bag	丿   心
熝	bag	  广 比 
熞	bag	  又 臣
熟	bag	
熠	bag	  白 
熡	bag	⑧  女
熢	bag_ops	  夂 辶  
熣	bag	 山 隹
熤	bag	  
熥	bag	  冂 
熦	bag	 小 隹
熧	bag	  彳 龰
熨	bag	  示
熩	bag	  尸 巴
熪	bag	 丿  木 
熫	bag	  灬
熬	bag	丿 攵 灬 
熭	bag	  丨  彐
熮	bag	  彡 
熯	bag	  口 廿
熰	bag	 匚  口
熱	bag	 九  灬
熲	bag	  頁
熳	bag	  罒
熴	bag	 山 
熵	bag	   口
熶	bag	  耳
熷	bag	  
熸	bag	 旡 旡 日
熹	bag	 灬 豆
熺	bag	 
熻	bag	   𠃌
熼	bag	   田
熽	bag	 肅
熾	bag	   日
熿	bag	   由
燀	bag	 八  甲
燁	bag	⑦ 丨 人 
燂	bag	   日
燃	bag	 
燄	bag	 
燅	bag	   
燆	bag	   
燇	bag	丷  寸 酉
燈	bag	  豆
燉	bag	  口 
燊	bag	  八 八 木
燋	bag	 灬 隹
燌	bag	   目
燍	bag	  八 𠂆
燎	bag	  小 日
燏	bag	   口 龴
燐	bag	㐄  八 米 𠂊
燑	bag	  甲
燒	bag	  人  
燓	bag	㐅   
燔	bag	丿  
燕	bag	③  廿 
燖	bag	 口 寸 工 彐
燗	bag	 月 𠁣 𠃛
燘	bag	  𠁣 𠃛
燙	bag	 丿  勹 
燚	bag	  八 八
燛	bag	⑥  臣
燜	bag	 心 𠁣 𠃛
燝	bag	   日
燞	bag	欠 灬 隹
營	bag	丿   
燠	bag	   米
燡	bag	 人  干 罒
燢	bag	③ 㐅   冖 彐
燣	bag	   木
燤	bag	丨 人  禺 ⸻
燥	bag	  
燦	bag	⺊  八  𠂊
燧	bag_ops	    ⿺
燨	bag	  我
燩	bag	  攵 白 𠃌
燪	bag	   勹 十 心
燫	bag	  
燬	bag	 
燭	bag	 勹 罒 虫
燮	bag	 又 言
燯	bag	   龴
燰	bag	丿  冖 夂 心 𭕄
燱	bag	  心 日
燲	bag	 丿  八 目  𠃌
燳	bag	丿   
燴	bag	⺌  
燵	bag	 人  辶
燶	bag	  厂 曲 𠄌
燷	bag	   示
燸	bag	     冂
燹	bag	 八 𧰨 𧰨
燺	bag	  冂  木
燻	bag	 熏
燼	bag	  灬 皿 
燽	bag	 乛   寸 工
燾	bag	 乛  寸 工 
燿	bag	  隹 
爀	bag	  
爁	bag	 八 皿 臣 𠂉
爂	bag	③    
爃	bag	  八 八 冖 木
爄	bag	丨 人  厂 禺
爅	bag	⑧   灬
爆	bag	
爇	bag	 九  十 灬
爈	bag	  心 田
爉	bag	⑦ 㐅  囗 
爊	bag	  广 比 灬 
爋	bag	丿  熏 𠃌
爌	bag	   广 由
爍	bag	②   八 
爎	bag	   小 日
爏	bag	  厂  止
爐	bag	  田 皿
爑	bag	丨 人  灬 隹
爒	bag	 丷  小 日 𠂊
爓	bag	  𠁣 𠃛
爔	bag	③ ㇉    木
爕	bag	  八 八 言
爖	bag	⑦   月
爗	bag	⑦ 丨 人 
爘	bag	⺊    𠂊
爙	bag	 井   𧘇
爚	bag	   
爛	bag	 柬 𠁣 𠃛
爜	bag	④   又 干 耳
爝	bag	⑤ 丿  寸 罒 𭕄
爞	bag	 虫 虫 虫
爟	bag	丨   隹
爠	bag	 目 目 隹
爡	bag	丨 人  禺 虫
爢	bag	 灬 非
爣	bag	⑧ ⺌   灬
爤	bag	丨 人  柬 𠁣 𠃛
爥	bag	  八 勹 尸 罒 虫
爦	bag	  目 罒 臣 𠂉
爧	bag	     口 工
爨	bag	③   冂  彐 
爩	bag	㐅     冖 凵 彡  缶
爪	bag	爪 ⸻
爫	bag	丿 𭕄 ⸻
爬	bag	巴 爪
爭	bag	 亅  𭕄
爮	bag	 爪
爯	bag	丿 冉 𭕄
爰	bag	 又 
爱	bag	
爲	bag	爲 ⸻
爳	bag	 爲
爴	bag	  囗 爪
爵	bag	⑤ 丿 寸 罒 𭕄
父	bag	
爷	bag	
爸	bag	
爹	bag	  
爺	bag	 
爻	bag	㐅  ⸻
爼	bag	㐅 且 
爽	bag	   乀 
爾	bag	   乀 八 
爿	bag	爿 ⸻
牀	bag	木 爿
牁	bag	 爿
牂	bag	 爿
牃	bag	世 木 爿
牄	bag	  尸 爿
牅	bag	 广 月 爿 
牆	bag	 人  爿
片	bag	
版	bag	
牉	bag	 片
牊	bag	 片 𠃌
牋	bag	  片
牌	bag	
牍	bag	 片
牎	bag	丶  心 片
牏	bag	 片
牐	bag	 臼
牑	bag	 片
牒	bag	世 木 片
牓	bag	 片 𠃌
牔	bag	丶  片
牕	bag	丿  心 片
牖	bag	 十 尸 月 片
牗	bag	 广 月 片 
牘	bag	一  片 目 罒
牙	bag	
牚	bag	 牙
牛	bag	
牜	bag	牜
牝	bag	 牛
牞	bag	丿 牛 𠃌
牟	bag	厶 
牠	bag	也 
牡	bag	 牛
牢	bag	宀 
牣	bag	 牛 𠃌
牤	bag	 牛 𠃊
牥	bag	 牛 𠃌
牦	bag	 
牧	bag	攵 牛
牨	bag	 牛
物	bag	
牪	bag	牛 
牫	bag	 牛
牬	bag	㇉  牛
牭	bag	 囗 牛
牮	bag	 
牯	bag	 牛
牰	bag	牛 由
牱	bag	 牛
牲	bag	牛 生
牳	bag	母 牛
牴	bag	丶 氏 牛
牵	bag	 冖 牛
牶	bag	 牛
牷	bag	 牛
牸	bag	子 宀 牛
特	bag	
牺	bag	 牛
牻	bag	 彡 牛
牼	bag	一 工 牛 
牽	bag	 冖 牛
牾	bag	 牛 𫝀
牿	bag	口 牛 𠂒
犀	bag	 八 尸 
犁	bag	 木 牛
犂	bag	 木 牛
犃	bag	 牛
犄	bag	 牛
犅	bag	 冂 山 牛
犆	bag	 牛
犇	bag	牛 牛 牛
犈	bag	 牛
犉	bag	 牛
犊	bag	 牛
犋	bag	 八 牛
犌	bag	⑤ 又 牛 
犍	bag	 廴 牛 
犎	bag	  牛
犏	bag	 牛
犐	bag	 木 牛
犑	bag	牛 犬 目
犒	bag	 牛
犓	bag	丨  勹 勹 牛
犔	bag	 牛 米 𠂉
犕	bag	 牛
犖	bag	 冖 
犗	bag	 牛
犘	bag	 牛
犙	bag	人 厶 厶 厶 彡 牛
犚	bag	 牛 示
犛	bag	厂 攵 未 牛
犜	bag	  牛
犝	bag	 牛 甲
犞	bag	  牛
犟	bag	 牛 虫
犠	bag	 我 牛
犡	bag	 厂 牛 禺
犢	bag	一  牛 目 罒
犣	bag	⑦ 㐅 囗 牛 
犤	bag	 厶 牛 罒
犥	bag	 广 比 灬 牛 
犦	bag	 日 牛
犧	bag	③ ㇉   木 牛
犨	bag	牛 隹 隹
犩	bag	丿   牛 田
犪	bag	 夂 巳 止 牛 自
犫	bag	牛 言 隹 隹
犬	bag	
犭	bag	
犮	bag	丶 
犯	bag	
犰	bag	九 犭
犱	bag	 犭
犲	bag	才 犭
犳	bag	 犭
犴	bag	干 犭
犵	bag	乙 犭 𠂉
状	bag	
犷	bag	广 犭
犸	bag	 犭
犹	bag	
犺	bag	 犭
犻	bag	一 巾 犭
犼	bag	乚 子 犭
犽	bag	牙 犭
犾	bag	 ⸻
犿	bag	 卜 犭
狀	bag	爿 犬
狁	bag	 犭
狂	bag	
狃	bag	丑 犭
狄	bag	 
狅	bag	 犭
狆	bag	 犭
狇	bag	木 犭
狈	bag	犭 贝
狉	bag	③  犭
狊	bag	犬 
狋	bag	犭 示
狌	bag	犭 生
狍	bag	 犭
狎	bag	犭 甲
狏	bag	也 犭 𠂉
狐	bag	犭 瓜
狑	bag	 犭 龴
狒	bag	 犭
狓	bag	犭 皮
狔	bag	 尸 犭
狕	bag	 犭 𠃌
狖	bag	 
狗	bag	
狘	bag	戉 犭
狙	bag	且 犭
狚	bag	 犭
狛	bag	犭 白
狜	bag	 犭
狝	bag	小 犭 𠂊
狞	bag	 宀 犭
狟	bag	 
狠	bag	
狡	bag	 犭
狢	bag	 犭
狣	bag	兆 犭
狤	bag	 
狥	bag	勹 
狦	bag	 丨 冂 犭
狧	bag	 犭
狨	bag	 犭 𠂇
狩	bag	宀 寸 犭
狪	bag	一  犭
狫	bag	 犭 耂
独	bag	
狭	bag	 犭
狮	bag	 巾 犭
狯	bag	 犭
狰	bag	 犭 
狱	bag	 讠
狲	bag	子 小 犭
狳	bag	 犭
狴	bag	 比 犭
狵	bag	 彡 犭
狶	bag	㐅 巾 犭 𠂇
狷	bag	口 月 犭
狸	bag	 犭 甲
狹	bag	  犭
狺	bag	犭 言
狻	bag	 犭
狼	bag	丶 
狽	bag	八 犭 
狾	bag	 犭 𠂆
狿	bag	 廴 犭
猀	bag	 氵 犭
猁	bag	 木 犭
猂	bag	干 
猃	bag	 犭 𭕄
猄	bag	 犭
猅	bag	犭 非
猆	bag	犬 非
猇	bag	 几 犭
猈	bag	 犭 白
猉	bag	 犭
猊	bag	 犭 臼
猋	bag	犬 犬 
猌	bag	 木 犬
猍	bag	 木 犭
猎	bag	 犭
猏	bag	 月 犭
猐	bag	 乚 犭
猑	bag	 犭
猒	bag	 月 犬
猓	bag	 
猔	bag	宀 犭 示
猕	bag	小 弓 犭 𠂊
猖	bag	 犭
猗	bag	 犭
猘	bag	 牛 犭
猙	bag	 亅 犭  𭕄
猚	bag	犭 隹
猛	bag	
猜	bag	月 犭 龶
猝	bag	 犭
猞	bag	  犭
猟	bag	 几 犭 𭕄
猠	bag	⑥ 八 犭
猡	bag	丶 犭 罒 𠂊
猢	bag	 月 犭
猣	bag	㐅 八 凵 夂 犭
猤	bag	  犭
猥	bag	 犭 田 𠄌
猦	bag	丿 几 
猧	bag	冂  犭 𠃍
猨	bag	 又 犭 
猩	bag	 生
猪	bag	 耂
猫	bag	 犭 田
猬	bag	月 犭 田
猭	bag	彑 犭 𧰨
献	bag	
猯	bag	 山 犭
猰	bag	  人 犭 𠃌
猱	bag	 木 犭 龴
猲	bag	 犭 𠃊
猳	bag	⑤ 又 犭 
猴	bag	 犭 
猵	bag	 犭
猶	bag	丷 犭 酉
猷	bag	丷 犬 酉
猸	bag	犭 
猹	bag	 木 犭
猺	bag	丿 犭 缶 𭕄
猻	bag	  小 犭
猼	bag	丶  犭
猽	bag	 八 冖 
猾	bag	⑤ 月 犭
猿	bag	 犭 𧘇
獀	bag	 犭 臼
獁	bag	⑥ 灬 犭
獂	bag	 犭 白
獃	bag	山 犬 豆
獄	bag	 言
獅	bag	㠯  巾 犭
獆	bag	 犭 白
獇	bag	 乚 厶 犭
獈	bag	 
獉	bag	 木 犭
獊	bag	  尸 犭
獋	bag	丷  犭 自
獌	bag	 犭 罒
獍	bag	 
獎	bag	冫 寸 爿 犬 𠂊
獏	bag	 犭
獐	bag	  犭
獑	bag	 犭 車 𠂆
獒	bag	丿 攵 犬 
獓	bag	丿 攵 犭 
獔	bag	丷  犭 白
獕	bag	山 犭 隹
獖	bag	  犭 目
獗	bag	 厂 欠 犭
獘	bag	丷 八 巾 攵 犬
獙	bag	丷 八 巾 攵 犭
獚	bag	 犭 由
獛	bag	  犭
獜	bag	㐄 丶 犭 米 𠂊
獝	bag	  口 犭 龴
獞	bag	 犭 甲
獟	bag	   十 犭
獠	bag	 人 小 
獡	bag	勹 灬 犭 臼
獢	bag	  犭
獣	bag	 犬 田 𭕄
獤	bag	  犭
獥	bag	 犭 白 𠃌
獦	bag	丨   犭 𠃊
獧	bag	 犭 罒 𧘇
獨	bag	勹 犭 罒 虫
獩	bag	一 戊 止 犭 𣥂
獪	bag	⺌   犭
獫	bag	   犭
獬	bag	丿 牛 犭 
獭	bag	束 犭 
獮	bag	   乀 八 巾 犭
獯	bag	熏 犭
獰	bag	 宀 心 
獱	bag	 犭 目 𣥂
獲	bag	 又 犭 隹
獳	bag	 冂 冂 犭
獴	bag	 犭 𧰨
獵	bag	⑦ 㐅 囗 犭 
獶	bag	⑧ 夂 心 犭
獷	bag	 广 犭 由
獸	bag	  田
獹	bag	 犭 田 皿
獺	bag	八 束 犭 目 𠂊
獻	bag	 ㇀   乚  
獼	bag	   乀 八 巾 弓 犭
獽	bag	 井  犭 𧘇
獾	bag	 口 犭 隹
獿	bag	 夂 巳 止 犭 自
玀	bag	 丶 犭 罒 隹
玁	bag	乛 厂  攵 犭 耳
玂	bag	  口 犭 甲 𠂆
玃	bag	又 犭 目 目 隹
玄	bag	 ⸻
玅	bag	 
玆	bag	   丶
率	bag	
玈	bag	② ④  𠂉
玉	atomic_override	玉
玊	full	⿷  ⿱ 十 
王	bag	
玌	bag	 乚 十
玍	bag	 
玎	bag	 
玏	bag	 
玐	bag_ops	  
玑	bag	 几 
玒	bag	 
玓	bag	  十
玔	bag	 川
玕	bag	 干
玖	bag	 久 十
玗	bag	 于 十
玘	bag	 己
玙	full	 一  
玚	bag	 𠃓
玛	atomic_override	玛
玜	bag	  
玝	bag	 𠂉
玞	bag	 
玟	bag	  
玠	bag_ops	  
玡	bag	 
玢	bag	 
玣	bag	 卜
